eta,geometry_row,screening_estimate,tt,tb,TBase,Base,toe,heel,stemDB,stemSP,toeDB,toeSP,heelDB,heelSP
0,3040,12658.4779280000,0.2000000000,0.2500000000,0.8000000000,3.0000000000,1.2000000000,1.5500000000,28,0.1500000000,12,0.2500000000,12,0.2000000000
0,3151,12411.9314460000,0.2000000000,0.2500000000,0.8500000000,3.0000000000,0.3000000000,2.4500000000,20,0.1000000000,12,0.2500000000,16,0.2000000000
0,3152,12401.5066140000,0.2000000000,0.2500000000,0.8500000000,3.0000000000,0.4000000000,2.3500000000,20,0.1000000000,12,0.2500000000,16,0.2000000000
0,3153,12290.6243100000,0.2000000000,0.2500000000,0.8500000000,3.0000000000,0.5000000000,2.2500000000,20,0.1000000000,12,0.2500000000,16,0.2500000000
0,3154,12259.8236700000,0.2000000000,0.2500000000,0.8500000000,3.0000000000,0.6000000000,2.1500000000,20,0.1000000000,12,0.2500000000,12,0.1500000000
0,3155,12254.1373980000,0.2000000000,0.2500000000,0.8500000000,3.0000000000,0.7000000000,2.0500000000,20,0.1000000000,12,0.2500000000,12,0.1500000000
0,3156,12248.4511260000,0.2000000000,0.2500000000,0.8500000000,3.0000000000,0.8000000000,1.9500000000,20,0.1000000000,12,0.2500000000,12,0.1500000000
0,3157,12242.7648540000,0.2000000000,0.2500000000,0.8500000000,3.0000000000,0.9000000000,1.8500000000,20,0.1000000000,12,0.2500000000,12,0.1500000000
0,3158,12160.6693020000,0.2000000000,0.2500000000,0.8500000000,3.0000000000,1.0000000000,1.7500000000,20,0.1000000000,12,0.2500000000,12,0.2000000000
0,3159,12158.5369500000,0.2000000000,0.2500000000,0.8500000000,3.0000000000,1.1000000000,1.6500000000,20,0.1000000000,12,0.2500000000,12,0.2000000000
0,3160,12156.4045980000,0.2000000000,0.2500000000,0.8500000000,3.0000000000,1.2000000000,1.5500000000,20,0.1000000000,12,0.2500000000,12,0.2000000000
0,3631,11604.3027760000,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.3000000000,2.4000000000,28,0.1500000000,12,0.2500000000,28,0.1500000000
0,3632,11111.6307440000,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.4000000000,2.3000000000,28,0.1500000000,12,0.2500000000,25,0.1500000000
0,3633,10963.4915120000,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.5000000000,2.2000000000,28,0.1500000000,12,0.2500000000,28,0.2000000000
0,3634,10935.2970800000,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,28,0.1500000000,12,0.2000000000,28,0.2000000000
0,3635,10927.0046000000,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.7000000000,2.0000000000,28,0.1500000000,12,0.1500000000,28,0.2000000000
0,3636,10669.2713600000,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.8000000000,1.9000000000,28,0.1500000000,16,0.2000000000,25,0.2000000000
0,3637,10641.9506000000,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.9000000000,1.8000000000,28,0.1500000000,16,0.2000000000,25,0.2000000000
0,3638,10472.1028400000,0.2000000000,0.3000000000,0.3000000000,3.0000000000,1.0000000000,1.7000000000,28,0.1500000000,12,0.1000000000,16,0.1000000000
0,3753,10185.8771720000,0.2000000000,0.3000000000,0.3500000000,3.0000000000,0.5000000000,2.2000000000,25,0.1500000000,12,0.2500000000,25,0.2000000000
0,3754,10148.1315800000,0.2000000000,0.3000000000,0.3500000000,3.0000000000,0.6000000000,2.1000000000,25,0.1500000000,12,0.2500000000,25,0.2000000000
0,3755,9970.9538600000,0.2000000000,0.3000000000,0.3500000000,3.0000000000,0.7000000000,2.0000000000,25,0.1500000000,12,0.2000000000,20,0.1500000000
0,3756,9928.0106600000,0.2000000000,0.3000000000,0.3500000000,3.0000000000,0.8000000000,1.9000000000,25,0.1500000000,12,0.1500000000,25,0.2500000000
0,3757,9917.5265960000,0.2000000000,0.3000000000,0.3500000000,3.0000000000,0.9000000000,1.8000000000,25,0.1500000000,16,0.2500000000,25,0.2500000000
0,3759,9818.1353000000,0.2000000000,0.3000000000,0.3500000000,3.0000000000,1.1000000000,1.6000000000,25,0.1500000000,12,0.1000000000,20,0.2000000000
0,3760,9765.2213800000,0.2000000000,0.3000000000,0.3500000000,3.0000000000,1.2000000000,1.5000000000,25,0.1500000000,20,0.2500000000,16,0.1500000000
0,5438,9755.6271400000,0.2000000000,0.3500000000,0.3000000000,3.0000000000,1.0000000000,1.6500000000,28,0.2000000000,12,0.1000000000,25,0.2500000000
0,5797,9746.0818300000,0.2000000000,0.3500000000,0.4500000000,3.0000000000,0.9000000000,1.7500000000,25,0.2000000000,12,0.2000000000,20,0.2500000000
0,5798,9734.2354300000,0.2000000000,0.3500000000,0.4500000000,3.0000000000,1.0000000000,1.6500000000,25,0.2000000000,12,0.1500000000,12,0.1000000000
