option,tt,tb,TBase,Base,toe,heel,DB,spacing,stem_height,d,Mstem,Mtoe,Mheel,FSot,FSsl,FSbc,known_checks_only,complete_WSD
3,0.2000000000,0.4000000000,0.4000000000,3.0000000000,0.6000000000,2.0000000000,28,0.1500000000,4.6000000000,0.3110000000,9.7336000000,1.7612884809,8.2380071414,3.2409053157,1.8912834783,1.5567618318,True,UNVERIFIED
3,0.2000000000,0.4000000000,0.4000000000,3.0000000000,0.6000000000,2.0000000000,28,0.2000000000,4.6000000000,0.3110000000,9.7336000000,1.7612884809,8.2380071414,3.2409053157,1.8912834783,1.5567618318,True,UNVERIFIED
3,0.2000000000,0.4000000000,0.4000000000,3.0000000000,0.6000000000,2.0000000000,28,0.2500000000,4.6000000000,0.3110000000,9.7336000000,1.7612884809,8.2380071414,3.2409053157,1.8912834783,1.5567618318,True,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,12,0.1000000000,4.5500000000,0.3690000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,False,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,12,0.1500000000,4.5500000000,0.3690000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,False,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,12,0.2000000000,4.5500000000,0.3690000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,False,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,12,0.2500000000,4.5500000000,0.3690000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,False,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,16,0.1000000000,4.5500000000,0.3670000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,True,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,16,0.1500000000,4.5500000000,0.3670000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,False,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,16,0.2000000000,4.5500000000,0.3670000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,False,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,16,0.2500000000,4.5500000000,0.3670000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,False,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,20,0.1000000000,4.5500000000,0.3650000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,True,UNVERIFIED
4,0.2500000000,0.4500000000,0.4500000000,3.0000000000,0.6000000000,1.9500000000,20,0.1500000000,4.5500000000,0.3650000000,9.4196375000,1.7759640903,7.8973892752,3.2626326947,1.9091802198,1.5426863781,True,UNVERIFIED
